,year,rank,song,artist
3515,1995,17,All I Wanna Do,Sheryl Crow
3516,1995,18,Practice What You Preach,Barry White
3517,1995,19,Constantly,Immature
3518,1995,20,"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan
3519,1995,21,The Rhythm Of The Night,Corona
3520,1995,22,You Don't Know How It Feels,Tom Petty
3521,1995,23,I'll Stand By You,Pretenders
3522,1995,24,The Sweetest Days,Vanessa Williams
3523,1995,25,Hold My Hand,Hootie & The Blowfish
3524,1995,26,100% Pure Love,Crystal Waters
3525,1995,27,"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick
3526,1995,28,Every Day Of The Week,Jade
3527,1995,29,"December 1963 (Oh, What A Night)",The 4 Seasons
3528,1995,30,I Belong To You/How Many Ways,Toni Braxton
3529,1995,31,Flava In Ya Ear,Craig Mack
3530,1995,32,Living In Danger,Ace Of Base
3531,1995,33,Be Happy,Mary J. Blige
3532,1995,34,If You Love Me,Brownstone
3533,1995,35,Thuggish Ruggish Bone,Bone Thugs-N-Harmony
3534,1995,36,"What's The Frequency, Kenneth?",R.E.M.
3535,1995,37,I Never Seen A Man Cry (aka I Seen A Man Die),Scarface
3536,1995,38,Never Lie,Immature
3537,1995,39,When Can I See You,Babyface
3538,1995,40,Playaz Club,Rappin' 4-Tay
3539,1995,41,"U Will Know (From ""Jason's Lyric"")",B.M.U. (Black Men United)
3540,1995,42,Do You See,Warren G
3541,1995,43,Foolin' Around,Changing Faces
3542,1995,44,I Miss You,N2U
3543,1995,45,Bring The Pain,Method Man
3544,1995,46,Wild Night,John Mellencamp With Me'Shell Ndegeocello
3545,1995,47,"Shame (From ""A Low Down Dirty Shame"")",Zhane
3546,1995,48,Blind Man,Aerosmith
3547,1995,49,Fa All Y'all,Da Brat
3548,1995,50,When We Dance,Sting
3549,1995,51,Far Behind,Candlebox
3550,1995,52,Mental Picture,Jon Secada
3551,1995,53,House Of Love,Amy Grant With Vince Gill
3552,1995,54,The Most Beautifullest Thing In This World,Keith Murray
3553,1995,55,"Sympathy For The Devil (""Interview With The Vampire"")",Guns N' Roses
3554,1995,56,"Circle Of Life (From ""The Lion King"")",Elton John
3555,1995,57,Black Coffee,Heavy D & The Boyz
3556,1995,58,Kitty Kitty,69 Boyz
3557,1995,59,Always And Forever,Luther Vandross
3558,1995,60,Pickup Man,Joe Diffie
3559,1995,61,Lucas With The Lid Off,Lucas
3560,1995,62,Dance Naked,John Mellencamp
3561,1995,63,Juicy/Unbelievable,The Notorious B.I.G.
3562,1995,64,Mishale,Andru Donalds
3563,1995,65,Get Ready For This,2 Unlimited
3564,1995,66,Something's Always Wrong,Toad The Wet Sprocket
3565,1995,67,Get Down,Craig Mack
3566,1995,68,Doll Parts,Hole
3567,1995,69,At Your Best (You Are Love),Aaliyah
3568,1995,70,Endless Love,Luther Vandross & Mariah Carey
3569,1995,71,Candy Rain,Soul For Real
