,Unnamed: 0,date,rank,song,artist,gender,genre,genres
533,533,2021,34,Things A Man Oughta Know,Lainey Wilson,,,"['contemporary country', 'country pop']"
534,534,2021,35,Wockesha,Moneybagg Yo,,,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
535,535,2021,36,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,,,"['canadian pop', 'pop']"
536,536,2021,37,Wildest Dreams (Taylor's Version),Taylor Swift,,,['pop']
537,537,2021,38,Family Ties,Baby Keem & Kendrick Lamar,,,"['hip hop', 'rap']"
538,538,2021,39,A-O-K,Tai Verdes,,,['modern indie pop']
539,539,2021,40,No Friends In The Industry,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
540,540,2021,41,Arcade,Duncan Laurence,,,['dutch pop']
541,541,2021,42,Scoop,Lil Nas X Featuring Doja Cat,,,"['lgbtq+ hip hop', 'pop']"
542,542,2021,43,In The Bible,Drake Featuring Lil Durk & Giveon,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
543,543,2021,44,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,,,['modern alternative pop']
544,544,2021,45,Late At Night,Roddy Ricch,,,"['melodic rap', 'rap', 'trap']"
545,545,2021,46,Rumors,Lizzo Featuring Cardi B,,,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
546,546,2021,47,Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,,,"['lgbtq+ hip hop', 'pop']"
547,547,2021,48,TSU,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
548,548,2021,49,Thot Shit,Megan Thee Stallion,,,"['houston rap', 'pop', 'trap queen']"
549,549,2021,50,You Time,Scotty McCreery,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
550,550,2021,51,Love Again,Dua Lipa,,,"['dance pop', 'pop', 'uk pop']"
551,551,2021,52,Wild Side,Normani Featuring Cardi B,,,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']"
552,552,2021,53,I Was On A Boat That Day,Old Dominion,,,"['contemporary country', 'country', 'country road']"
