,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
16,2014,58,Bottoms Up,Brantley Gilbert,,0.114,0.084,0.9836,joy,Male,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
17,2014,59,Animals,Martin Garrix,,0.183,0.092,0.9986,trust,Male,"['pop', 'pop rock']"
18,2014,60,HeadBand,B.o.B Featuring 2 Chainz,,0.122,0.169,-0.9963,fear,,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']"
19,2014,61,Let It Go,Demi Lovato,,0.044,0.069,-0.7368,sadness,,"['modern rock', 'neo mellow', 'pop', 'pop rock']"
0,2014,62,Don't Let Me Be Lonely,The Band Perry,,0.112,0.154,-0.9183,fear,,"['adult standards', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
1,2014,63,Hey Brother,Avicii,,0.099,0.076,0.8767,sadness,Male,"['dance pop', 'edm', 'pop', 'pop dance']"
2,2014,64,Little Drummer Boy,Pentatonix,,0.113,0.025,0.9551,joy,,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'world worship', 'worship']"
3,2014,65,Friday Night,Eric Paslay,,0.137,0.139,-0.8911,joy,Male,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
4,2014,66,XO,Beyonce,,0.187,0.075,0.9896,joy,,"['melodic rap', 'philly rap', 'rap', 'trap']"
5,2014,67,Up All Night,Jon Pardi,,0.134,0.193,-0.9958,trust,Male,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
6,2014,68,The Language,Drake,,0.101,0.154,-0.9962,anticipation,Male,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
7,2014,69,Slow Down,Selena Gomez,,0.065,0.06,0.6793,surprise,Female,['pop']
8,2014,70,Love Me Again,John Newman,,0.222,0.079,0.9948,joy,Male,[]
9,2014,71,Radio,Darius Rucker,,0.12,0.133,-0.9944,anger,Male,"['modern rock', 'pop', 'rock']"
10,2014,72,I Luv This Sh*t,August Alsina Featuring Trinidad James,,0.104,0.148,-0.9911,anger,,"['dance pop', 'pop r&b', 'pop rap', 'r&b', 'trap', 'urban contemporary']"
11,2014,73,We Were Us,Keith Urban And Miranda Lambert,,0.114,0.026,0.9712,anticipation,,"['australian country', 'australian pop', 'contemporary country', 'country', 'country road']"
12,2014,74,TKO,Justin Timberlake,,0.094,0.144,-0.9951,fear,Male,"['dance pop', 'pop']"
13,2014,75,Compass,Lady Antebellum,,0.098,0.084,0.6816,trust,,"['modern alternative rock', 'modern rock', 'pop']"
14,2014,76,Let It Be,Tessanne Chin & Adam Levine,,0.129,0.015,0.9856,anger,,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
15,2014,77,Berzerk,Eminem,,0.087,0.106,-0.9712,anger,Male,"['detroit hip hop', 'hip hop', 'rap']"
16,2014,78,Underneath The Tree,Kelly Clarkson,,0.159,0.044,0.9904,joy,Female,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']"
17,2014,79,Up Down (Do This All Day),T-Pain Featuring B.o.B,,0.141,0.056,0.9962,anticipation,,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
18,2014,80,Sunny And 75,Joe Nichols,,0.211,0.015,0.9927,joy,Male,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']"
19,2014,81,Alone Together,Fall Out Boy,,0.159,0.142,0.8401,anticipation,Male,"['emo', 'modern rock', 'rock']"
0,2014,82,Best Song Ever,One Direction,,0.259,0.016,0.999,surprise,Male,"['boy band', 'pop', 'post-teen pop', 'talent show']"
1,2014,83,Do I Wanna Know?,Arctic Monkeys,,0.02,0.017,0.2982,sadness,Male,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2,2014,84,Helluva Life,Frankie Ballard,,0.048,0.204,-0.9987,fear,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
3,2014,85,All That Matters,Justin Bieber,,0.278,0.014,0.9971,anticipation,Male,"['canadian pop', 'pop']"
4,2014,86,See You Tonight,Scotty McCreery,,0.107,0.111,0.7253,anger,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
5,2014,87,Bound 2,Kanye West,,0.099,0.193,-0.9958,joy,Male,"['chicago rap', 'rap']"
6,2014,88,Honest,Future,,0.265,0.126,0.9981,anger,Male,"['hip hop', 'rap']"
